"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","11. Przycisk Disabled staje się nieaktywny po kliknięciu","chrome","2026-01-06","skipped","2026-01-06","Zestaw testów UI Aplikacja React","test_script_playwright.spec.js","",""
"","0","08. Przyciski radio są wzajemnie wykluczające","chrome","2026-01-06","skipped","2026-01-06","Zestaw testów UI Aplikacja React","test_script_playwright.spec.js","",""
"","0","09. Przełącznik motywu zmienia klasę elementu body","chrome","2026-01-06","skipped","2026-01-06","Zestaw testów UI Aplikacja React","test_script_playwright.spec.js","",""
"","0","20. Obraz posiada poprawne atrybuty","chrome","2026-01-06","skipped","2026-01-06","Zestaw testów UI Aplikacja React","test_script_playwright.spec.js","",""
"","0","05. Pole tekstowe przyjmuje wpisany tekst","chrome","2026-01-06","skipped","2026-01-06","Zestaw testów UI Aplikacja React","test_script_playwright.spec.js","",""
"","0","17. Tooltip wyświetla poprawny tytuł","chrome","2026-01-06","skipped","2026-01-06","Zestaw testów UI Aplikacja React","test_script_playwright.spec.js","",""
"","1","06. Lista rozwijana zmienia wybraną opcję","chrome","2026-01-06","skipped","2026-01-06","Zestaw testów UI Aplikacja React","test_script_playwright.spec.js","",""
"","0","14. Modal otwiera się i zamyka prawidłowo","chrome","2026-01-06","skipped","2026-01-06","Zestaw testów UI Aplikacja React","test_script_playwright.spec.js","",""
"","0","07. Checkbox poprawnie zmienia stan","chrome","2026-01-06","skipped","2026-01-06","Zestaw testów UI Aplikacja React","test_script_playwright.spec.js","",""
"","0","12. Przycisk Secondary wywołuje alert","chrome","2026-01-06","skipped","2026-01-06","Zestaw testów UI Aplikacja React","test_script_playwright.spec.js","",""
"","0","18. Każdy wiersz tabeli zawiera cztery komórki","chrome","2026-01-06","skipped","2026-01-06","Zestaw testów UI Aplikacja React","test_script_playwright.spec.js","",""
"","0","10. Przycisk Primary zmienia tekst i klasę po kliknięciu","chrome","2026-01-06","skipped","2026-01-06","Zestaw testów UI Aplikacja React","test_script_playwright.spec.js","",""
"","684","01. Tytuł strony jest poprawny","chrome","2026-01-06","failed","2026-01-06","Zestaw testów UI Aplikacja React","test_script_playwright.spec.js","",""
"","0","16. Loader pojawia się i znika po określonym czasie","chrome","2026-01-06","skipped","2026-01-06","Zestaw testów UI Aplikacja React","test_script_playwright.spec.js","",""
"","0","13. Pasek postępu zmienia wartość po przesunięciu suwaka","chrome","2026-01-06","skipped","2026-01-06","Zestaw testów UI Aplikacja React","test_script_playwright.spec.js","",""
"","0","04. Pole tekstowe ma poprawny stan początkowy","chrome","2026-01-06","skipped","2026-01-06","Zestaw testów UI Aplikacja React","test_script_playwright.spec.js","",""
"","0","19. Karty danych wyświetlają poprawne informacje","chrome","2026-01-06","skipped","2026-01-06","Zestaw testów UI Aplikacja React","test_script_playwright.spec.js","",""
"","1","03. Tabela zawiera cztery kolumny","chrome","2026-01-06","skipped","2026-01-06","Zestaw testów UI Aplikacja React","test_script_playwright.spec.js","",""
"","634","02. Nagłówki sekcji są widoczne","chrome","2026-01-06","failed","2026-01-06","Zestaw testów UI Aplikacja React","test_script_playwright.spec.js","",""
"","1","15. Alert pojawia się i automatycznie znika","chrome","2026-01-06","skipped","2026-01-06","Zestaw testów UI Aplikacja React","test_script_playwright.spec.js","",""
